createtripid,region,createtripid_region,requestdate,aborteddataerrorcount,accommodationunavailableerrorcount,createtripformsubmission_adultcount,badproportionerrorcount,createtripformsubmission_childages,createtripformsubmission_childcount,createtripformsubmission_closestcity_id,createtripformsubmission_closestcity,creationdate,createtripformsubmission_directjourney,createtripformsubmission_durationdays,array_to_string,createtripformsubmission_extrainfo,failtimeseconds,failureindurationserrorcount,createtripformsubmission_fastjourney,firstchoiceaccommodationunavailablecount,noavailabledotwaccommodationerrorcount,nofamilymanualfallbackserrorcount,nogoodscoreerrorcount,norouteserrorcount,jotform_onewaytrip,overnightreductionerrorcount,createtripformsubmission_preferreddate,createtripformsubmission_roomcount,substituteaccommodationunavailablecount,success,timeouterrorcount,transportunavailableerrorcount,tripbuildtimeseconds,createtripformsubmission_twinroompreferred
"789413578839243","Andalusia","789413578839243_Andalusia","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:18.757'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-18'","1","0","true","0","0","24.18","true"
"789413578839243","Netherlands","789413578839243_Netherlands","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:06.722'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-18'","1","0","true","0","0","12.12","true"
"789413578839243","Belgium","789413578839243_Belgium","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:12.799'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-18'","1","0","true","0","0","18.22","true"
"789413578839243","Southern Italy","789413578839243_Southern Italy","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:15.266'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","0","0","0","0","10","","0","'2024-03-18'","1","0","true","0","0","20.66","true"
"789413578839243","North & Central Spain","789413578839243_North & Central Spain","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:24.585'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-18'","1","0","true","1","0","30.02","true"
"789413578839243","Switzerland","789413578839243_Switzerland","'2024-01-20 13:31:53.898'","0","0","2","0","{}","0","26","London","'2024-01-20 13:32:18.305'","false","21","Arts and Culture,Relaxation,Food and Drink,History,Adventure,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-18'","1","0","true","0","0","23.73","true"
"806543214890492","East Highlands","806543214890492_East Highlands","'2024-01-20 13:34:04.918'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 13:34:12.113'","false","3","Relaxation,Food and Drink","{}","","0","false","0","0","0","0","1","","0","'2024-03-10'","1","0","true","0","0","6.05","false"
"806543214890492","Highlands & Islands","806543214890492_Highlands & Islands","'2024-01-20 13:34:04.918'","0","0","2","2","{}","0","22370660","Newcastle","'2024-01-20 13:34:17.893'","false","3","Relaxation,Food and Drink","{}","","0","false","1","1","0","0","2","","0","'2024-03-10'","1","1","true","0","0","11.84","false"
"806543214890492","Cornwall","806543214890492_Cornwall","'2024-01-20 13:34:04.918'","0","0","2","1","{}","0","22370660","Newcastle","'2024-01-20 13:34:15.683'","false","3","Relaxation,Food and Drink","{}","","0","false","0","0","0","0","1","","0","'2024-03-10'","1","0","true","0","0","9.63","false"
"615307762292264","French Riviera","615307762292264_French Riviera","'2024-01-20 13:34:59.397'","0","0","1","1","{13}","1","26","London","'2024-01-20 13:35:06.409'","false","3","Arts and Culture,Food and Drink,History","{}","","0","false","0","0","0","0","0","","0","'2024-02-15'","1","0","true","0","0","5.32","true"
